timestamp,ef_peak,rf_peak,label
08:06:29.267,11.0,25.0,SAFE
08:01:58.303,22.0,34.0,SAFE
08:09:50.001,13.0,26.0,SAFE
08:16:46.761,8.0,26.0,SAFE
08:14:46.737,12.0,19.0,SAFE
08:20:10.487,7.0,27.0,SAFE
08:11:29.776,,21.0,SAFE
08:17:18.748,7.0,,SAFE
,15.0,28.0,SAFE
08:17:42.250,4.0,,SAFE
08:12:59.512,35.0,45.0,DANGER
08:14:17.507,25.0,44.0,SAFE
08:20:11.485,45.0,33.0,SAFE
08:00:36.264,18.0,26.0,SAFE
08:02:29.031,59.0,61.0,DANGER
08:11:08.517,4.0,25.0,SAFE
08:04:31.557,-43.0,25.0,SAFE
08:04:51.750,65.0,62.0,DANGER
08:20:24.267,8.0,28.0,SAFE
08:02:42.730,9.0,22.0,SAFE
08:17:18.475,16.0,26.0,DANGER
08:00:48.538,12.0,23.0,SAFE
08:00:42.975,8.0,25.0,SAFE
08:18:17.241,13.0,24.0,SAFE
08:01:41.723,13.0,20.0,SAFE
08:04:24.519,9.0,22.0,SAFE
08:04:15.780,10.0,24.0,SAFE
08:03:16.972,5.0,28.0,SAFE
08:08:24.235,15.0,31.0,SAFE
08:06:14.542,31.0,28.0,SAFE
08:00:40.274,58.0,67.0,
08:08:55.229,13.0,27.0,SAFE
08:19:57.971,62.0,21.0,DANGER
08:05:09.020,16.0,22.0,SAFE
08:02:54.800,13.0,23.0,DANGER
08:17:00.975,7.0,,SAFE
08:20:23.486,5.0,23.0,SAFE
08:14:49.223,66.0,59.0,DANGER
08:05:35.806,63.0,56.0,DANGER
08:08:17.255,11.0,21.0,SAFE
08:01:52.970,,25.0,SAFE
08:03:19.738,10.0,22.0,SAFE
08:07:31.560,9.0,26.0,SAFE
08:06:04.497,28.0,38.0,SAFE
08:07:00.058,6.0,19.0,SAFE
08:19:32.779,13.0,23.0,SAFE
08:11:14.768,18.0,36.0,SAFE
08:15:16.250,,30.0,SAFE
08:01:08.779,20.0,27.0,SAFE
08:01:53.258,56.0,63.0,DANGER
08:18:53.231,58.0,62.0,DANGER
08:18:06.769,9.0,27.0,SAFE
08:03:04.307,,30.0,SAFE
08:19:34.285,10.0,27.0,SAFE
08:03:11.502,10.0,24.0,SAFE
08:14:00.780,15.0,27.0,SAFE
08:12:31.045,13.0,22.0,SAFE
08:03:19.543,11.0,31.0,SAFE
08:15:32.011,31.0,56.0,DANGER
08:10:19.525,61.0,64.0,DANGER
08:02:28.528,64.0,58.0,DANGER
08:04:41.226,9.0,29.0,SAFE
08:00:19.532,69.0,62.0,DANGER
08:08:25.556,,59.0,DANGER
08:04:50.744,28.0,39.0,SAFE
08:17:41.003,22.0,25.0,SAFE
08:09:02.055,5.0,26.0,SAFE
08:11:37.808,68.0,62.0,DANGER
08:01:29.505,10.0,25.0,SAFE
08:03:00.802,8.0,26.0,SAFE
08:08:43.543,60.0,0.0,DANGER
08:16:02.008,13.0,20.0,SAFE
08:11:59.279,61.0,57.0,DANGER
08:11:03.293,61.0,58.0,DANGER
08:05:41.299,13.0,30.0,SAFE
08:15:51.019,27.0,34.0,SAFE
08:03:48.793,34.0,0.0,SAFE
08:17:40.003,60.0,60.0,DANGER
08:20:14.274,51.0,44.0,SAFE
08:09:46.479,35.0,37.0,SAFE
08:15:11.742,10.0,23.0,SAFE
08:01:01.540,30.0,30.0,SAFE
08:05:24.261,12.0,18.0,SAFE
08:19:08.798,58.0,55.0,DANGER
08:11:39.490,11.0,24.0,SAFE
08:06:18.553,59.0,61.0,DANGER
08:12:16.309,28.0,38.0,SAFE
08:13:32.292,9.0,23.0,SAFE
08:00:53.290,7.0,27.0,SAFE
08:15:54.508,57.0,59.0,DANGER
08:04:53.767,13.0,26.0,SAFE
08:13:48.556,59.0,62.0,DANGER
08:06:22.473,10.0,24.0,SAFE
08:06:04.310,,30.0,SAFE
08:07:25.512,65.0,61.0,DANGER
08:17:38.757,29.0,42.0,SAFE
08:12:00.306,7.0,20.0,SAFE
08:09:48.028,64.0,60.0,DANGER
08:20:14.056,56.0,60.0,DANGER
08:04:33.720,55.0,62.0,DANGER
08:14:19.254,56.0,58.0,DANGER
