,timestamp,ef_peak,rf_peak,ef_saturated,rf_saturated,ef_peak_transformed,label_numerical,Electric_Field_Strength,Field_Gradient,EF_Rolling_Mean,EF_Rolling_Std,RF_Burst_Amplitude,RF_Freq_Component,RF_Rolling_Peak,Above_Threshold,Lightning_Strike
0,1900-01-01 08:00:00.051,11.0,24.0,0,0,3.4849066497880004,0,11.0,,,,,,,0,0
1,1900-01-01 08:00:00.255,11.0,29.0,0,0,3.4849066497880004,0,11.0,0.0,,,,5.0,,0,0
2,1900-01-01 08:00:00.487,61.0,60.0,0,0,5.127134385045092,1,61.0,50.0,,,,31.0,,1,1
3,1900-01-01 08:00:00.806,68.0,63.0,0,0,5.23410650459726,1,68.0,7.0,,,,3.0,,1,1
4,1900-01-01 08:00:01.039,8.0,26.0,0,0,3.1972245773362196,0,8.0,-60.0,31.8,29.978325503603433,63.0,-37.0,63.0,0,0
5,1900-01-01 08:00:01.274,8.0,23.0,0,0,3.1972245773362196,0,8.0,0.0,31.2,30.523761236125537,63.0,-3.0,63.0,0,0
6,1900-01-01 08:00:01.481,10.0,19.0,0,0,3.3978952727983707,0,10.0,2.0,31.0,30.692018506445613,63.0,-4.0,63.0,0,0
7,1900-01-01 08:00:01.784,55.0,59.0,0,0,5.02535169073515,1,55.0,45.0,29.8,29.312113536898018,63.0,40.0,63.0,1,1
8,1900-01-01 08:00:02.041,6.0,25.0,0,0,2.9459101490553135,0,6.0,-49.0,17.4,21.066561181170506,59.0,-34.0,59.0,0,0
9,1900-01-01 08:00:02.303,58.0,56.0,0,0,5.07753744390572,1,58.0,52.0,27.4,26.623298067669978,59.0,31.0,59.0,1,1
10,1900-01-01 08:00:02.523,14.0,24.0,0,0,3.70805020110221,0,14.0,-44.0,28.6,25.647611974606914,59.0,-32.0,59.0,0,0
11,1900-01-01 08:00:02.795,10.0,20.0,0,0,3.3978952727983707,0,10.0,-4.0,28.6,25.647611974606914,59.0,-4.0,59.0,0,0
12,1900-01-01 08:00:02.970,59.0,61.0,0,0,5.0943445622221,1,59.0,49.0,29.4,26.71703576372199,61.0,41.0,61.0,1,1
13,1900-01-01 08:00:03.240,57.0,62.0,0,0,5.060443010546419,1,57.0,-2.0,39.6,25.244801445050026,62.0,1.0,62.0,1,1
14,1900-01-01 08:00:03.513,57.0,24.0,0,0,5.060443010546419,0,57.0,0.0,39.4,25.065913109240604,62.0,-38.0,62.0,1,0
15,1900-01-01 08:00:03.747,35.0,72.0,0,0,4.58351893845611,1,35.0,-22.0,43.6,21.208488866489287,72.0,48.0,72.0,0,1
16,1900-01-01 08:00:03.983,9.0,21.0,0,0,3.302585092994046,0,9.0,-26.0,43.4,21.60555484129024,72.0,-51.0,72.0,0,0
17,1900-01-01 08:00:04.232,12.0,21.0,0,0,3.5649493574615367,0,12.0,3.0,34.0,23.280893453645632,72.0,0.0,72.0,0,0
18,1900-01-01 08:00:04.514,62.0,55.0,0,0,5.143134726391533,1,62.0,50.0,35.0,24.586581706288495,72.0,34.0,72.0,1,1
